length, sigma, noise
0.868608,0.596608,0.000555687
0.868608,0.596608,0.000555687
0.868608,0.596608,0.000555687
0.868608,0.596608,0.000555687
0.868608,0.596608,0.000555687
0.868608,0.596608,0.000555687
0.868608,0.596608,0.000555687
0.868608,0.596608,0.000555687
76.4157,0.267204,0.000747005
153.285,0.296513,0.000630505
185.063,0.663819,0.0004283
412.967,0.919652,0.000672217
314.908,0.418388,0.000783733
445.863,0.988224,0.00038318
349.587,0.46031,0.000436901
360.577,0.38992,0.000236652
682.806,0.444129,0.000877286
38.8496,0.906611,2.21158e-05
626.493,0.58484,0.000362193
807.031,0.967578,0.000258836
567.723,0.19828,0.000604646
226.722,0.900514,5.89648e-05
634.867,0.670702,1.02071e-05
559.069,0.0482548,5.47561e-06
