length, sigma, noise
1.26375,0.422813,0.000750187
1.26375,0.422813,0.000750187
1.26375,0.422813,0.000750187
1.26375,0.422813,0.000750187
1.26375,0.422813,0.000750187
1.26375,0.422813,0.000750187
1.26375,0.422813,0.000750187
1.26375,0.422813,0.000750187
15.1209,0.28045,3.83762e-05
254.242,0.604814,0.000715894
91.2689,0.319507,0.00026701
214.852,0.851566,0.000239901
452.098,0.63269,0.000507895
608.287,0.881656,0.000566796
654.597,0.608521,0.000724344
817.652,0.676984,0.000697298
720.459,0.4197,0.000707641
951.131,0.718332,0.000667265
984.535,0.73198,0.000620035
164.566,0.204628,7.94927e-05
988.445,0.695213,0.000630707
171.087,0.0289655,0.000322963
887.912,0.484449,0.00016844
698.633,0.198468,0.000120489
